               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13121,            0.022327,            0.026236,           0.0019888,             0.33218,            0.011313,           0.0024565,             0.11568,            0.018761,            0.013988,              0.0892,              0.0012,              0.0012
                   1,             0.10783,            0.024634,            0.014634,             0.35822,             0.26024,              0.2525,            0.099293,             0.10096,            0.018737,           0.0050407,            0.077451,           0.0024505,           0.0024505
                   2,            0.092258,            0.024353,           0.0090265,             0.22186,             0.38275,             0.21321,            0.063169,            0.096284,            0.033385,           0.0034529,             0.06565,           0.0036495,           0.0036495
                   3,            0.084605,            0.021482,           0.0077418,             0.24935,             0.40276,             0.25679,            0.098024,            0.090641,            0.023225,           0.0030036,            0.053797,           0.0047971,           0.0047971
                   4,            0.081649,            0.020909,           0.0062714,             0.36259,             0.48529,             0.35539,             0.13349,            0.086735,             0.01999,            0.002861,            0.041893,           0.0058931,           0.0058931
                   5,            0.078707,            0.020376,           0.0055457,             0.44056,             0.38272,             0.33494,              0.1413,            0.094518,            0.022075,           0.0024988,            0.029938,           0.0069377,           0.0069377
                   6,            0.075961,            0.019728,           0.0050632,             0.34466,             0.46755,             0.37154,             0.15064,             0.07521,            0.016024,           0.0028172,            0.017931,           0.0079308,           0.0079308
                   7,            0.073069,            0.018992,           0.0047286,             0.43276,             0.50783,             0.41379,             0.17532,            0.073645,            0.021191,           0.0026831,            0.008614,            0.008614,            0.008614
                   8,            0.067974,            0.018377,           0.0040965,             0.48892,             0.45074,             0.41388,             0.20453,            0.072254,            0.018188,           0.0027164,            0.008614,            0.008614,            0.008614
                   9,            0.063418,            0.019264,           0.0040888,             0.39107,             0.50657,             0.40204,             0.18157,            0.071137,            0.023797,           0.0025985,            0.008416,            0.008416,            0.008416
                  10,            0.061433,            0.018265,           0.0033526,             0.50623,             0.49236,             0.45013,             0.21796,            0.067283,            0.022393,           0.0028285,            0.008218,            0.008218,            0.008218
                  11,            0.060942,            0.019047,           0.0032768,             0.60918,             0.52493,             0.54007,              0.2962,            0.065084,            0.015679,           0.0024024,             0.00802,             0.00802,             0.00802
                  12,            0.059122,            0.017988,           0.0031452,             0.64497,             0.51583,             0.53323,             0.30743,            0.063092,            0.015714,           0.0025833,            0.007822,            0.007822,            0.007822
